"threshold.25.","sensitivity.25.","specificity.25.","ppv.25.","npv.25.","accuracy.25.","AUC.25.","coefs.25.","Prev.25.","threshold.75.","sensitivity.75.","specificity.75.","ppv.75.","npv.75.","accuracy.75.","AUC.75.","coefs.75.","Prev.75."
0.0210680760452989,0.853864072348589,0.80416758551011,0.101911877545399,0.995661316551999,0.807212503584743,0.91295794875624,6,0.0236,0.0339984214643416,0.914895635673624,0.858956166397729,0.139606634468734,0.99751610937337,0.859764840837396,0.932151532796019,8,0.02525
0.5,0.123595505617978,0.998533616242432,0.707720588235294,0.977544262314653,0.976770863206194,0.91295794875624,6,0.0236,0.5,0.162572674418605,0.999411505037565,0.848901098901099,0.980386496405593,0.979065098938916,0.932151532796019,8,0.02525
0.467203907638324,0.833333333333333,0.79399977122178,0.0982223784966401,0.994781304005001,0.796386578720964,0.905080427181347,7,0.0236,0.583057312624104,0.904986522911051,0.857268833590081,0.133800614194722,0.997147639543622,0.856466876971609,0.924547466165011,10,0.02525
0.370022023941892,0.833978114292031,0.79836422644435,0.0956451612903226,0.995138293826847,0.800831660453111,0.902889624434341,29,0.0236,0.522897349002483,0.897796024200519,0.859183605424522,0.132513259933213,0.996869777998593,0.85876111270433,0.921177237451885,33,0.02525
0.29695913693572,0.849709302325581,0.79363632227198,0.0920147271849348,0.995435391568959,0.795669630054488,0.905606945194534,13,0.0236,0.465112875841613,0.89996375498369,0.85394514717503,0.133045344384216,0.997063645654862,0.85381416690565,0.92491382944393,19,0.02525
