"threshold","sensitivity","specificity","ppv","npv","accuracy","AUC","coefs","Prev"
0.203393371088207,0.688504363689591,0.712091284620916,0.375352358841539,0.902112381157575,0.707407513622025,0.75932496509495,7.88,0.198899
0.5,0.173677429628099,0.974351904949077,0.629760977180502,0.825496350076831,0.814568396902782,0.75932496509495,7.88,0.198899
0.50048725360641,0.689886992174086,0.707086789445166,0.372087972144014,0.901948150528882,0.703670777172354,0.757541700178382,8.99,0.198899
0.504633727794786,0.682094024596162,0.715893485520057,0.376739795206249,0.900752413100027,0.709151132778893,0.757381436823983,14.99,0.198899
0.430132179330408,0.670599820597762,0.716046947853468,0.372481002932361,0.897536976707442,0.70696300544881,0.74958984289277,22.71,0.198899
